[2023-03-26 06:04:03,294 test_registrasi_Loop.py->test_1_setupOS()]==>INFO: Setup Os
[2023-03-26 06:05:00,393 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input tanggal menjalani putusan akhir
[2023-03-26 06:05:00,532 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input jenis putusan
[2023-03-26 06:05:01,427 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: tanggal menjalani pencaputan PB
[2023-03-26 06:05:01,883 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input kejahatan utama
[2023-03-26 06:05:01,964 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input pasal utama
[2023-03-26 06:05:02,067 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input Kejahatan
[2023-03-26 06:05:02,177 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input tempat kejadian
[2023-03-26 06:05:02,214 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: pilih jenis putusan
[2023-03-26 06:05:02,263 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal putusan akhir
[2023-03-26 06:05:03,182 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input nomor putusan 
[2023-03-26 06:05:03,252 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input pasal
[2023-03-26 06:05:04,111 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input nama hakim ketua
[2023-03-26 06:05:04,176 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input hakim anggota 1
[2023-03-26 06:05:05,041 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input hakim anggota 2
[2023-03-26 06:05:05,116 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input panitera
[2023-03-26 06:05:05,161 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input nama jaksa
[2023-03-26 06:05:05,295 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input pengadilan
[2023-03-26 06:05:06,096 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input tanggal dijalankan putusan
[2023-03-26 06:05:06,998 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input Tersangka
[2023-03-26 06:05:07,102 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: status hukum basan baran
[2023-03-26 06:05:07,209 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: jenis hukuman
[2023-03-26 06:05:07,253 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input pidana
[2023-03-26 06:05:09,061 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: input jenis remisi
[2023-03-26 06:05:09,142 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal ekspirasi perkiraan
[2023-03-26 06:05:12,319 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal pertama ditahan
[2023-03-26 06:05:13,444 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal akhir ditahan
[2023-03-26 06:05:13,540 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal awal ditahan golongan
[2023-03-26 06:05:17,829 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Input tanggal masuk lapas
[2023-03-26 06:05:17,891 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Klik Button Submit
[2023-03-26 06:05:20,967 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Search Nama WBP
[2023-03-26 06:05:25,615 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Klik Button Search
[2023-03-26 06:05:29,710 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Klik Button Delete
[2023-03-26 06:05:30,769 test_registrasi_Loop.py->test_3_Input_Registrasi()]==>INFO: Klik Button Ya
