[2023-03-28 16:38:41,986 test_registrasi_Loop.py->test_1_setupOS()]==>INFO: Setup Os
[2023-03-28 16:39:10,941 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input panitera
[2023-03-28 16:39:10,987 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nama jaksa
[2023-03-28 16:39:11,523 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pengadilan
[2023-03-28 16:39:11,935 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal dijalankan putusan
[2023-03-28 16:39:12,849 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input Tersangka
[2023-03-28 16:39:12,958 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: status hukum basan baran
[2023-03-28 16:39:13,466 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: jenis hukuman
[2023-03-28 16:39:13,510 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pidana
[2023-03-28 16:39:15,797 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input jenis remisi
[2023-03-28 16:39:15,890 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal ekspirasi perkiraan
[2023-03-28 16:39:19,050 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal pertama ditahan
[2023-03-28 16:39:19,206 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal akhir ditahan
[2023-03-28 16:39:19,308 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal awal ditahan golongan
[2023-03-28 16:39:23,411 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal masuk lapas
[2023-03-28 16:39:23,467 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Klik Button Submit
[2023-03-28 16:39:28,568 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button Registrasi
[2023-03-28 16:39:30,776 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button Jenis Registrasi B1
[2023-03-28 16:39:30,940 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input nomor registrasi wbp
[2023-03-28 16:39:31,869 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Pilih Data Registrasi
[2023-03-28 16:39:31,887 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Click Button search
[2023-03-28 16:39:33,749 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: close Pop Up
[2023-03-28 16:39:34,118 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input no registrasi 
[2023-03-28 16:39:34,223 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal surat 
[2023-03-28 16:39:34,361 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nomor surat penahanan
[2023-03-28 16:39:34,408 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nama petugas
[2023-03-28 16:39:34,542 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Pilih Kejaksaan
[2023-03-28 16:39:34,772 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih asal instansi
[2023-03-28 16:39:34,949 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih instansi penyidik
[2023-03-28 16:39:35,010 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input lokasi dokumen
[2023-03-28 16:39:35,069 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input asal tahanan
[2023-03-28 16:39:35,126 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input asal kepolisian
[2023-03-28 16:39:35,209 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal penangkapan
[2023-03-28 16:39:35,287 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal BA 8
[2023-03-28 16:39:35,374 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal menjalani putusan akhir
[2023-03-28 16:39:35,509 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input jenis putusan
[2023-03-28 16:39:36,411 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: tanggal menjalani pencaputan PB
[2023-03-28 16:39:36,801 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input kejahatan utama
[2023-03-28 16:39:36,888 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pasal utama
[2023-03-28 16:39:36,947 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input Kejahatan
[2023-03-28 16:39:37,059 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tempat kejadian
[2023-03-28 16:39:37,099 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: pilih jenis putusan
[2023-03-28 16:39:37,153 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal putusan akhir
[2023-03-28 16:39:38,077 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nomor putusan 
[2023-03-28 16:39:38,145 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pasal
[2023-03-28 16:39:39,022 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input nama hakim ketua
[2023-03-28 16:39:39,094 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input hakim anggota 1
[2023-03-28 16:39:39,905 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input hakim anggota 2
[2023-03-28 16:39:39,983 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input panitera
[2023-03-28 16:39:40,034 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input nama jaksa
[2023-03-28 16:39:40,184 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pengadilan
[2023-03-28 16:39:40,975 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input tanggal dijalankan putusan
[2023-03-28 16:39:41,881 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input Tersangka
[2023-03-28 16:39:41,985 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: status hukum basan baran
[2023-03-28 16:39:42,092 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: jenis hukuman
[2023-03-28 16:39:42,136 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input pidana
[2023-03-28 16:39:43,977 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: input jenis remisi
[2023-03-28 16:39:44,064 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal ekspirasi perkiraan
[2023-03-28 16:39:47,242 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal pertama ditahan
[2023-03-28 16:39:47,355 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal akhir ditahan
[2023-03-28 16:39:47,471 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal awal ditahan golongan
[2023-03-28 16:39:51,574 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Input tanggal masuk lapas
[2023-03-28 16:39:51,644 test_registrasi_Loop.py->test_Input_Registrasi()]==>INFO: Klik Button Submit
